id,neighbourhood_cleansed,room_type,price_clean,accommodates,bedrooms,beds,availability_365,number_of_reviews,review_scores_rating,latitude,longitude,instant_bookable,host_is_superhost,estimated_revenue_l365d
680089590442139521,Midtown,Entire home/apt,505.0,7,2.0,6.0,270,33,4.94,32.749128344747525,-117.15339586585982,t,t,21210.0
680566913029780069,Normal Heights,Entire home/apt,87.0,2,1.0,1.0,321,177,4.8,32.75773,-117.11057,t,t,22185.0
680624625279272883,East Village,Entire home/apt,672.0,6,2.0,3.0,365,0,,32.71461,-117.15491,t,f,0.0
681073513180504510,Pacific Beach,Entire home/apt,269.0,13,3.0,8.0,237,115,4.82,32.80001,-117.25576,t,f,48420.0
681103230269826039,Pacific Beach,Entire home/apt,216.0,13,3.0,5.0,223,163,4.75,32.79999,-117.2566,t,f,42768.0
681196311353915491,Normal Heights,Entire home/apt,200.0,3,2.0,2.0,358,0,,32.76284,-117.11263,f,f,0.0
681215300778884048,La Jolla,Entire home/apt,1492.0,10,5.0,6.0,358,1,5.0,32.81388855357468,-117.24732993506628,f,f,0.0
681938795852905787,Darnall,Entire home/apt,58.0,2,1.0,1.0,333,91,4.88,32.74856,-117.05925,f,t,14790.0
681947950402313342,Darnall,Entire home/apt,158.0,6,2.0,2.0,209,99,4.94,32.74702,-117.05748,f,t,24648.0
682062736572524466,North Hills,Entire home/apt,144.0,4,2.0,2.0,314,161,4.91,32.75675836065195,-117.12848011595202,t,t,36720.0
682072036857044901,West University Heights,Entire home/apt,188.0,6,2.0,3.0,332,46,4.96,32.75518,-117.15518,f,t,15792.0
682076288589451093,West University Heights,Entire home/apt,125.0,2,1.0,1.0,328,30,5.0,32.75498,-117.15484,t,t,31875.0
682505065448399539,Old Town,Entire home/apt,511.0,10,5.0,5.0,282,57,4.86,32.751393975466,-117.16525693659382,t,t,55188.0
682520282880269935,Del Mar Heights,Entire home/apt,178.0,2,1.0,1.0,309,93,4.96,32.9373538,-117.2451292,f,t,25632.0
682733087423860214,Midtown,Entire home/apt,285.0,2,0.0,1.0,182,212,5.0,32.74369,-117.17668,f,t,72675.0
683193639436808695,City Heights West,Entire home/apt,123.0,4,2.0,2.0,237,45,4.98,32.74009,-117.10761,f,t,25092.0
683234613028026193,Sky Line,Entire home/apt,83.0,2,1.0,1.0,242,185,4.98,32.7115,-117.04668,f,t,21165.0
683525328080620552,Mira Mesa,Private room,72.0,2,1.0,1.0,53,4,5.0,32.90456,-117.13157,t,f,1728.0
683536038418359910,Wooded Area,Entire home/apt,277.0,6,2.0,3.0,353,154,4.95,32.7092,-117.23898,f,t,70635.0
684141895484132129,Linda Vista,Entire home/apt,89.0,2,1.0,1.0,267,2,5.0,32.796248004461525,-117.17738024890424,f,t,0.0
684285748077273404,Carmel Valley,Entire home/apt,108.0,2,1.0,1.0,86,23,5.0,32.9456905,-117.2333014,f,t,27540.0
684315130805765507,Oak Park,Entire home/apt,293.0,16,5.0,10.0,359,42,4.81,32.74194,-117.07244,t,f,14064.0
684845866764867422,Balboa Park,Entire home/apt,132.0,2,0.0,1.0,170,72,4.79,32.72457,-117.1289,f,t,15840.0
684902535935776149,Pacific Beach,Entire home/apt,457.0,12,5.0,6.0,226,21,4.95,32.79518,-117.24522,f,f,52098.0
684953264028206921,Balboa Park,Entire home/apt,257.0,10,3.0,5.0,138,108,4.8,32.72077,-117.13574,f,,53970.0
685474588078141843,Mission Bay,Entire home/apt,693.0,8,3.0,5.0,284,56,4.91,32.763773890140726,-117.25231029695892,f,t,60984.0
685508129205251445,Paradise Hills,Entire home/apt,91.0,4,1.0,1.0,365,14,4.86,32.67791,-117.0624,f,f,0.0
685512504380094565,Paradise Hills,Entire home/apt,92.0,3,2.0,2.0,269,0,,32.67675,-117.06112,f,,0.0
685520973973593782,Mission Bay,Entire home/apt,756.0,8,3.0,5.0,211,52,4.96,32.76386293180718,-117.25241162275393,f,t,78624.0
685546082275060464,Mission Bay,Entire home/apt,501.0,10,3.0,6.0,341,153,5.0,32.58528,-117.04049,f,f,127755.0
685620661188923442,Gaslamp Quarter,Entire home/apt,128.0,5,2.0,2.0,365,133,4.68,32.71348,-117.15982,t,f,24576.0
685622178356725357,La Jolla,Entire home/apt,1495.0,10,5.0,5.0,334,3,5.0,32.844358,-117.2554406,f,t,29900.0
686098052027756953,Cortez Hill,Entire home/apt,122.0,2,0.0,1.0,95,153,4.91,32.72221,-117.16548,t,t,31110.0
686194503899147545,Oak Park,Entire home/apt,137.0,10,5.0,5.0,330,159,4.62,32.74206,-117.0628,f,f,34935.0
686241131318154405,Mira Mesa,Private room,49.0,1,1.0,1.0,328,66,4.67,32.9090316,-117.1348856,f,t,3234.0
687049136188753166,Core,Entire home/apt,109.0,6,1.0,2.0,154,141,4.84,32.71848,-117.15859,t,,27795.0
687262703182718734,Memorial,Entire home/apt,224.0,8,4.0,5.0,81,127,4.86,32.69757,-117.13127,t,t,36288.0
687504086143447321,Ocean Beach,Entire home/apt,304.0,4,2.0,4.0,263,101,4.96,32.75213,-117.25176,f,t,51072.0
687794309321808337,Mira Mesa,Entire home/apt,190.0,8,2.0,5.0,259,8,4.75,32.9032851,-117.12159835,t,f,0.0
688564824279581401,North Clairemont,Entire home/apt,87.0,4,1.0,2.0,328,134,4.87,32.83694,-117.18731,t,f,8874.0
688986933270102648,East Village,Entire home/apt,155.0,3,0.0,2.0,325,3,5.0,32.71526,-117.15372,f,,0.0
688987803798723994,South Park,Entire home/apt,209.0,9,3.0,4.0,67,102,4.73,32.71707505932699,-117.12954046359592,f,t,32604.0
688997448360347563,East Village,Entire home/apt,139.0,2,0.0,1.0,117,5,4.8,32.71544,-117.15301,f,,8618.0
